Third Level Statistical Building Block (Middle-Layer Super Output Area) codes mapping to POLAR4,,,,,
England,E02005700,4,275,555,49.4%
England,E02005701,3,220,650,33.7%
England,E02005702,5,185,360,51.7%
England,E02005703,2,140,450,30.7%
England,E02005704,3,270,825,32.9%
England,E02005705,5,230,420,54.3%
England,E02005706,2,135,540,24.8%
England,E02005707,5,180,350,51.0%
England,E02005708,4,210,535,39.6%
England,E02005709,1,65,530,12.1%
England,E02005710,1,100,465,21.8%
England,E02005711,1,125,585,21.3%
England,E02005712,1,125,570,21.5%
England,E02005713,2,150,470,31.6%
England,E02005714,5,220,415,52.9%
England,E02005715,1,130,705,18.7%
England,E02005716,2,170,620,27.4%
England,E02005717,3,155,460,33.2%
England,E02005718,3,135,405,33.5%
England,E02005719,2,130,465,28.2%
England,E02005720,2,185,725,25.8%
England,E02005721,3,115,295,39.2%
England,E02005722,5,305,425,72.2%
England,E02005723,4,165,395,41.5%
England,E02005724,5,250,405,62.1%
England,E02005725,5,250,390,64.0%
England,E02005726,5,315,430,73.5%
England,E02005727,4,185,410,45.4%
England,E02005728,3,150,435,34.4%
England,E02005729,5,200,295,67.1%
England,E02005730,4,440,895,49.1%
England,E02005731,3,260,775,33.3%
England,E02005732,5,310,485,64.2%
England,E02005733,5,275,520,52.7%
England,E02005734,1,90,415,21.3%
England,E02005735,1,80,515,15.9%
England,E02005736,1,105,530,20.2%
England,E02005737,2,165,550,29.7%
England,E02005738,2,100,375,26.8%
England,E02005739,1,135,580,23.5%
England,E02005740,1,120,665,18.0%
England,E02005741,3,225,585,38.7%
England,E02005742,4,185,440,42.0%
England,E02005743,5,160,295,53.9%
England,E02005744,4,200,435,46.6%
England,E02005745,5,230,370,62.8%
England,E02005746,3,165,430,38.8%
England,E02005747,2,115,445,25.3%
England,E02005748,4,205,440,47.1%
England,E02005749,4,305,685,44.4%
England,E02005750,5,245,495,50.1%
England,E02005751,5,390,545,71.6%
England,E02005752,5,210,355,59.2%
England,E02005753,2,235,815,29.0%
England,E02005754,5,230,440,52.4%
England,E02005755,3,180,485,37.4%
England,E02005756,4,165,370,44.9%
England,E02005757,4,205,500,40.8%
England,E02005758,4,210,525,39.6%
England,E02005759,5,285,530,53.4%
England,E02005760,4,220,460,48.0%
England,E02005761,4,155,355,43.4%
England,E02005762,4,185,380,48.7%
England,E02005763,5,160,315,50.8%
England,E02005764,2,175,650,27.0%
England,E02005765,4,180,410,44.5%
England,E02005766,4,155,350,43.6%
England,E02005767,5,270,430,62.6%
England,E02005768,4,190,415,46.1%
England,E02005769,3,150,420,36.1%
England,E02005770,2,165,555,30.2%
England,E02005771,3,140,435,32.0%
England,E02005772,4,215,455,47.4%
England,E02005773,2,130,495,26.1%
England,E02005774,3,210,660,31.7%
England,E02005775,5,200,320,62.1%
England,E02005776,5,300,465,64.5%
England,E02005777,5,310,585,53.0%
England,E02005778,5,175,305,56.6%
England,E02005779,5,260,350,74.0%
England,E02005780,5,465,680,68.2%
England,E02005781,5,285,360,79.2%
England,E02005782,5,235,410,56.9%
England,E02005783,4,295,605,48.7%
England,E02005784,3,155,395,38.8%
England,E02005785,1,180,875,20.8%
England,E02005786,4,150,330,44.8%
England,E02005787,4,180,450,40.1%
England,E02005788,4,175,390,44.3%
England,E02005789,4,245,615,39.7%
England,E02005790,5,200,370,53.6%
England,E02005791,3,155,440,34.9%
England,E02005794,5,315,570,55.1%
England,E02005795,2,110,360,30.5%
England,E02005796,4,190,445,42.3%
England,E02005797,2,125,440,27.9%
England,E02005798,4,190,475,40.3%
England,E02005799,4,270,615,43.7%
England,E02005800,2,140,470,30.0%
England,E02005801,1,95,515,18.9%
England,E02005802,2,150,615,24.2%
England,E02005803,3,205,575,35.6%
England,E02005804,5,115,195,58.3%
England,E02005805,3,135,400,33.7%
England,E02005806,1,100,620,16.3%
England,E02005807,3,150,390,39.1%
England,E02005808,2,205,765,26.5%
England,E02005809,3,210,560,37.5%
England,E02005810,5,280,530,53.0%
England,E02005811,4,220,525,42.4%
England,E02005812,3,210,645,32.7%
England,E02005813,1,100,650,15.7%
England,E02005814,2,135,450,30.0%
England,E02005815,3,215,555,39.0%
England,E02005816,3,195,580,33.8%
England,E02005817,4,170,400,42.8%
England,E02005818,3,180,505,35.2%
England,E02005819,2,105,430,24.4%
England,E02005820,2,105,365,28.7%
England,E02005821,1,65,465,14.3%
England,E02005822,1,125,620,19.9%
England,E02005823,1,55,530,10.6%
England,E02005824,1,145,600,23.8%
England,E02005825,2,130,520,24.7%
England,E02005826,1,55,440,12.9%
England,E02005827,3,200,590,33.8%
England,E02005828,1,100,430,23.4%
England,E02005829,1,100,455,22.0%
England,E02005830,2,120,425,28.7%
England,E02005831,2,160,535,29.5%
England,E02005832,1,90,510,17.3%
England,E02005833,2,150,505,29.4%
England,E02005834,1,75,530,14.0%
England,E02005835,1,170,735,23.0%
England,E02005836,4,230,570,40.2%
England,E02005837,4,205,435,46.7%
England,E02005838,1,100,585,16.9%
England,E02005839,2,130,435,29.4%
England,E02005840,2,195,715,27.4%
England,E02005842,3,200,615,32.9%
England,E02005843,2,135,455,29.4%
England,E02005844,2,125,515,24.1%
England,E02005846,1,35,450,7.5%
England,E02005847,2,125,415,30.5%
England,E02005848,2,140,490,28.3%
England,E02005849,4,225,555,40.4%
England,E02005850,2,105,435,24.4%
England,E02005851,1,70,430,16.1%
England,E02005852,3,155,475,32.3%
England,E02005853,3,240,615,38.8%
England,E02005856,5,265,365,72.3%
England,E02005857,1,80,410,19.9%
England,E02005858,3,155,420,37.3%
England,E02005859,3,205,625,32.6%
England,E02005860,4,120,275,43.2%
England,E02005861,2,85,270,31.3%
England,E02005862,3,170,510,33.6%
England,E02005863,5,230,435,52.6%
England,E02005864,4,260,590,44.0%
England,E02005865,5,290,470,61.0%
England,E02005866,3,200,575,34.5%
England,E02005868,3,155,445,34.9%
England,E02005869,1,95,465,20.5%
England,E02005870,2,105,415,25.8%
England,E02005871,4,180,435,41.2%
England,E02005872,5,155,285,54.7%
England,E02005873,5,355,645,54.6%
England,E02005874,3,180,460,38.7%
England,E02005875,2,140,505,27.6%
England,E02005876,2,185,665,27.5%
England,E02005877,1,105,450,23.2%
England,E02005878,3,220,615,35.4%
England,E02005879,1,95,420,22.3%
England,E02005880,1,75,520,14.0%
England,E02005881,1,75,470,15.8%
England,E02005882,3,180,530,34.1%
England,E02005883,1,100,585,17.4%
England,E02005884,2,105,430,24.0%
England,E02005885,1,110,570,19.5%
England,E02005886,2,210,835,25.1%
England,E02005887,1,90,535,16.8%
England,E02005888,1,100,525,18.6%
England,E02005889,1,165,735,22.4%
England,E02005890,2,145,475,30.5%
England,E02005891,1,80,460,16.9%
England,E02005892,5,295,600,49.5%
England,E02005893,1,120,805,14.8%
England,E02005894,2,190,700,27.0%
England,E02005895,4,220,545,40.7%
England,E02005896,4,150,350,43.1%
England,E02005897,4,240,575,41.8%
England,E02005898,1,190,840,22.4%
England,E02005899,1,110,635,17.5%
England,E02005900,5,300,480,62.3%
England,E02005901,2,140,580,24.6%
England,E02005902,1,90,590,15.4%
England,E02005903,1,150,715,21.3%
England,E02005904,4,210,465,45.5%
England,E02005905,5,230,355,64.4%
England,E02005906,5,205,365,56.6%
England,E02005907,3,230,600,38.6%
England,E02005908,4,205,420,48.1%
England,E02005909,5,280,460,61.1%
England,E02005910,5,220,365,59.4%
England,E02005911,5,320,505,63.2%
England,E02005912,5,370,690,53.2%
England,E02005913,5,315,465,67.1%
England,E02005914,1,115,540,21.5%
England,E02005915,5,180,340,52.2%
England,E02005916,5,180,350,51.9%
England,E02005917,5,225,285,78.5%
England,E02005918,4,145,345,42.5%
England,E02005919,4,150,375,40.0%
England,E02005920,5,270,440,62.0%
England,E02005921,5,150,225,66.9%
England,E02005922,1,125,530,23.6%
England,E02005923,1,75,360,20.7%
England,E02005924,2,145,515,28.1%
England,E02005925,1,105,695,14.9%
England,E02005926,4,190,480,39.9%
England,E02005927,3,120,345,34.2%
England,E02005928,5,255,460,55.6%
England,E02005929,5,250,420,59.9%
England,E02005930,5,210,395,53.2%
England,E02005931,5,220,445,49.5%
England,E02005932,3,160,450,35.3%
England,E02005933,1,120,550,22.1%
England,E02005934,1,135,605,22.6%
England,E02005935,3,115,335,35.1%
England,E02005936,5,285,385,73.2%
England,E02005937,3,155,405,38.3%
England,E02005938,2,120,465,26.1%
England,E02005939,4,145,365,39.3%
England,E02005940,5,230,275,83.7%
England,E02005941,5,265,265,100.0%
England,E02005942,5,270,145,100.0%
England,E02005943,4,170,365,46.7%
England,E02005944,1,95,505,18.8%
England,E02005945,5,240,300,81.1%
England,E02005946,4,170,380,44.5%
England,E02005947,5,110,85,100.0%
England,E02005948,5,80,140,58.0%
England,E02005949,3,85,265,32.7%
England,E02005950,5,150,295,50.1%
England,E02005951,5,115,215,53.6%
England,E02005952,3,240,655,36.5%
England,E02005953,4,120,245,47.8%
England,E02005954,3,185,475,38.7%
England,E02005955,1,140,585,23.6%
England,E02005956,1,75,525,14.1%
England,E02005957,1,80,555,14.2%
England,E02005958,4,210,465,44.6%
England,E02005959,5,180,325,55.9%
England,E02005960,4,170,360,47.4%
England,E02005961,5,230,385,59.0%
England,E02005962,4,215,530,40.6%
England,E02005963,3,175,475,37.5%
England,E02005964,4,200,420,47.6%
England,E02005965,5,160,250,62.7%
England,E02005966,3,165,470,34.6%
England,E02005967,2,100,420,24.0%
England,E02005968,5,180,330,54.8%
England,E02005969,4,230,495,46.1%
England,E02005970,1,75,395,19.4%
England,E02005971,1,90,420,21.6%
England,E02005972,5,260,435,59.4%
England,E02005973,5,115,210,54.6%
England,E02005974,5,210,270,78.1%
England,E02005975,5,305,345,89.2%
England,E02005976,5,250,255,98.3%
England,E02005977,5,190,340,55.5%
England,E02005978,5,280,320,88.3%
England,E02005979,5,280,490,56.9%
England,E02005980,5,320,485,66.3%
England,E02005981,5,310,625,49.6%
England,E02005982,5,190,350,54.0%
England,E02005983,5,260,450,58.0%
England,E02005984,5,285,315,91.1%
England,E02005985,2,130,505,25.7%
England,E02005986,4,215,540,39.8%
England,E02005987,4,195,440,43.9%
England,E02005988,3,170,535,31.9%
England,E02005991,4,255,630,40.3%
England,E02005992,5,305,480,63.5%
England,E02005993,3,135,390,35.3%
England,E02005994,5,170,300,57.0%
England,E02005995,5,180,330,55.0%
England,E02005996,5,225,385,59.0%
England,E02005997,4,190,400,47.8%
England,E02005998,4,180,370,48.7%
England,E02005999,4,165,375,43.5%
England,E02006000,4,330,800,41.3%
England,E02006001,3,140,445,31.8%
England,E02006002,2,185,610,30.2%
England,E02006003,4,160,360,44.2%
England,E02006004,5,160,245,64.8%
England,E02006005,2,155,575,26.9%
England,E02006006,1,105,500,21.4%
England,E02006007,4,180,365,49.3%
England,E02006008,4,190,465,40.8%
England,E02006009,4,150,335,44.6%
England,E02006010,3,255,655,38.6%
England,E02006011,4,145,355,41.6%
England,E02006012,3,115,320,35.3%
England,E02006013,5,250,485,51.9%
England,E02006014,3,180,535,33.6%
England,E02006015,3,200,600,33.3%
England,E02006016,4,190,450,42.1%
England,E02006017,4,210,450,46.7%
England,E02006018,2,195,740,26.4%
England,E02006019,3,135,375,36.4%
England,E02006020,3,145,405,35.7%
England,E02006021,4,265,565,47.0%
England,E02006022,4,140,340,41.0%
England,E02006023,2,175,550,31.3%
England,E02006024,2,175,680,25.8%
England,E02006025,4,180,415,43.1%
England,E02006026,3,160,425,37.4%
England,E02006027,5,140,220,64.4%
England,E02006028,4,210,535,39.5%
England,E02006029,1,100,590,17.3%
England,E02006030,1,110,510,21.9%
England,E02006031,3,140,365,38.7%
England,E02006032,1,160,690,23.2%
England,E02006033,5,205,305,66.1%
England,E02006034,5,240,470,51.7%
England,E02006035,4,140,315,44.9%
England,E02006036,4,150,355,42.0%
England,E02006037,4,285,595,48.1%
England,E02006038,4,195,480,41.1%
England,E02006039,4,230,550,42.1%
England,E02006040,5,265,400,65.8%
England,E02006041,4,145,340,42.1%
England,E02006042,5,165,320,52.2%
England,E02006043,3,140,425,32.4%
England,E02006044,3,115,305,37.4%
England,E02006045,2,165,535,30.8%
England,E02006046,3,195,540,36.1%
England,E02006047,5,235,445,52.3%
England,E02006048,4,195,495,39.7%
England,E02006049,2,115,445,26.4%
England,E02006050,2,175,640,27.7%
England,E02006051,5,225,440,50.8%
England,E02006052,4,205,490,41.9%
England,E02006053,1,150,625,23.7%
England,E02006054,4,210,450,46.1%
England,E02006055,1,120,625,19.0%
England,E02006056,4,175,410,42.6%
England,E02006057,3,160,495,31.9%
England,E02006058,2,155,500,30.9%
England,E02006059,5,215,365,59.6%
England,E02006060,1,110,505,22.1%
England,E02006061,4,320,660,48.5%
England,E02006062,3,235,655,35.8%
England,E02006063,5,300,550,54.0%
England,E02006064,2,120,395,30.6%
England,E02006065,1,130,545,23.8%
England,E02006066,1,105,460,22.9%
England,E02006067,3,150,415,36.6%
England,E02006068,1,55,650,8.2%
England,E02006069,1,100,590,17.1%
England,E02006070,1,90,400,22.8%
England,E02006071,3,190,600,32.0%
England,E02006072,4,270,605,44.4%
England,E02006073,1,90,565,16.1%
England,E02006074,3,170,455,37.7%
England,E02006075,5,190,325,57.6%
England,E02006076,4,245,500,48.7%
England,E02006077,3,105,325,32.6%
England,E02006078,4,155,360,42.7%
England,E02006079,3,145,370,39.2%
England,E02006080,4,135,320,41.6%
England,E02006081,4,145,295,48.2%
England,E02006082,3,130,395,33.2%
England,E02006083,2,115,375,30.5%
England,E02006084,3,165,435,38.0%
England,E02006085,1,90,395,22.6%
England,E02006086,2,130,475,27.1%
England,E02006087,1,80,460,17.0%
England,E02006088,1,90,590,15.4%
England,E02006089,1,80,355,22.9%
England,E02006090,2,130,470,27.6%
England,E02006091,3,190,585,32.4%
England,E02006092,3,150,385,38.4%
England,E02006093,3,155,445,34.3%
England,E02006094,3,100,295,33.4%
England,E02006095,2,105,400,25.9%
England,E02006096,2,125,480,26.0%
England,E02006097,1,95,425,22.8%
England,E02006098,3,160,440,36.4%
England,E02006099,4,180,420,43.0%
England,E02006100,5,205,405,50.0%
England,E02006101,4,185,375,49.3%
England,E02006102,1,85,555,15.0%
England,E02006103,3,155,400,39.1%
England,E02006104,3,200,530,37.5%
England,E02006105,3,165,445,37.2%
England,E02006106,3,165,465,35.7%
England,E02006107,1,135,680,20.2%
England,E02006108,5,215,330,65.3%
England,E02006109,5,255,490,52.6%
England,E02006110,2,135,535,25.6%
England,E02006111,5,265,530,49.6%
England,E02006112,5,265,450,58.1%
England,E02006113,2,125,405,30.8%
England,E02006114,2,75,320,24.0%
England,E02006115,1,105,570,18.2%
England,E02006116,4,175,360,48.4%
England,E02006117,3,105,310,33.2%
England,E02006118,3,165,485,34.2%
England,E02006119,1,105,590,18.2%
England,E02006120,1,135,610,21.9%
England,E02006121,1,80,435,18.3%
England,E02006122,1,80,380,21.6%
England,E02006123,2,160,515,30.7%
England,E02006124,1,90,550,16.3%
England,E02006125,1,95,510,19.1%
England,E02006126,2,170,580,29.5%
England,E02006127,3,210,540,39.2%
England,E02006128,4,205,475,43.0%
England,E02006129,1,95,510,19.1%
England,E02006130,2,125,500,24.6%
England,E02006131,4,250,525,47.9%
England,E02006132,2,125,470,26.5%
England,E02006133,4,210,515,40.5%
England,E02006134,4,275,565,48.3%
England,E02006135,3,235,600,39.1%
England,E02006136,5,260,485,54.0%
England,E02006137,1,150,690,21.4%
England,E02006138,1,90,405,22.5%
England,E02006139,2,120,455,26.2%
England,E02006140,1,130,585,22.3%
England,E02006141,1,120,545,21.9%
England,E02006142,4,180,410,44.6%
England,E02006143,3,180,520,34.7%
England,E02006144,1,95,590,15.8%
England,E02006145,5,205,360,57.2%
England,E02006146,3,145,450,31.8%
England,E02006147,5,265,525,51.0%
England,E02006148,5,240,470,51.2%
England,E02006149,1,145,705,20.7%
England,E02006150,4,385,805,47.6%
England,E02006151,2,180,630,28.8%
England,E02006152,5,310,610,51.2%
England,E02006153,5,225,450,50.1%
England,E02006154,3,210,620,34.0%
England,E02006155,1,75,415,17.9%
England,E02006156,5,355,520,68.5%
England,E02006157,3,140,410,33.8%
England,E02006158,2,165,555,29.3%
England,E02006159,1,90,440,20.3%
England,E02006160,1,140,625,22.1%
England,E02006161,3,180,555,32.7%
England,E02006162,2,160,510,31.1%
England,E02006163,1,135,585,23.0%
England,E02006164,1,85,490,17.2%
England,E02006165,3,135,390,34.3%
England,E02006166,4,205,460,45.2%
England,E02006167,2,130,540,24.4%
England,E02006168,3,115,315,36.3%
England,E02006169,2,85,325,26.7%
England,E02006170,4,150,320,47.4%
England,E02006171,4,210,525,39.8%
England,E02006172,5,410,640,63.9%
England,E02006173,5,235,365,64.1%
England,E02006174,4,285,665,42.8%
England,E02006175,2,130,435,29.5%
England,E02006176,4,200,440,45.9%
England,E02006177,3,230,720,31.8%
England,E02006178,2,175,605,29.0%
England,E02006179,3,175,490,35.8%
England,E02006180,2,155,545,28.0%
England,E02006181,3,140,385,36.6%
England,E02006182,5,215,415,52.6%
England,E02006183,5,270,535,50.7%
England,E02006184,4,160,390,40.6%
England,E02006185,3,185,485,38.7%
England,E02006186,5,385,740,51.7%
England,E02006187,5,230,415,55.1%
England,E02006188,4,120,305,39.4%
England,E02006189,5,180,360,49.7%
England,E02006190,3,215,570,37.8%
England,E02006191,5,275,505,54.3%
England,E02006192,5,275,450,60.8%
England,E02006193,3,145,390,36.7%
England,E02006194,1,125,550,23.0%
England,E02006195,5,230,450,51.4%
England,E02006196,2,80,310,25.3%
England,E02006197,3,90,265,33.5%
England,E02006198,5,260,520,50.0%
England,E02006199,5,250,470,53.0%
England,E02006200,1,135,600,22.4%
England,E02006201,5,475,870,54.5%
England,E02006202,5,270,515,52.6%
England,E02006203,1,115,490,23.2%
England,E02006204,2,135,510,26.1%
England,E02006205,4,185,395,47.4%
England,E02006206,2,160,640,24.6%
England,E02006207,3,120,330,37.0%
England,E02006208,2,140,450,30.9%
England,E02006209,4,305,665,46.0%
England,E02006210,3,115,330,35.6%
England,E02006211,4,215,450,47.2%
England,E02006212,3,180,475,38.0%
England,E02006213,3,165,440,37.1%
England,E02006214,3,135,415,32.7%
England,E02006215,3,165,495,33.6%
England,E02006216,4,265,610,43.0%
England,E02006217,3,205,600,34.2%
England,E02006218,2,100,405,25.3%
England,E02006219,2,155,635,24.6%
England,E02006220,2,110,450,24.0%
England,E02006221,2,115,385,30.3%
England,E02006222,1,85,545,15.7%
England,E02006223,1,60,630,9.6%
